,Unnamed: 0,Unnamed: 0.1,user_id,app_code,os_version,is_4G,is_click,log_time,item_id,item_price,category_1,category_2,category_3,product_type,ad_freq
861,82275,82275,394,385,intermediate,0,1,0.0,98567,806,15,47,89,4976,0.0
875,82407,82407,400,385,old,0,1,0.0,71030,2080,10,43,264,1381,0.0
935,45926,45926,417,283,intermediate,0,1,0.0,79527,6336,4,38,62,3928,0.0
956,34187,34187,427,145,intermediate,0,1,353220.0,66430,61190,1,42,157,5208,176610.5
1049,87078,87078,454,190,old,0,1,0.0,177,1356,4,1,111,1736,0.0
1060,57246,57246,454,190,old,0,1,70800.0,127900,3520,1,28,283,908,28970.08333333333
1087,87534,87534,460,190,old,0,1,689580.0,75754,1036,15,0,214,9881,0.0
1108,89146,89146,468,469,intermediate,0,1,0.0,23084,947,11,76,147,5622,0.0
1110,6825,6825,468,469,intermediate,0,1,555360.0,60507,845,11,35,148,5622,370220.33333333326
1114,89159,89159,470,249,latest,0,1,0.0,19608,2553,10,43,223,7701,0.0
1181,65942,65942,499,127,intermediate,0,1,2100.0,48334,633,0,45,73,1594,0.0
1202,91518,91518,505,244,intermediate,1,1,168060.0,46883,14871,9,3,238,7173,42672.2
1229,93045,93045,522,190,intermediate,0,1,0.0,77658,2292,4,38,62,636,0.0
1230,92990,92990,522,190,intermediate,0,1,840.0,19282,1433,17,26,233,8127,420.5
1251,93233,93233,538,249,latest,1,1,0.0,84357,128,7,24,100,7455,0.0
1252,93252,93252,538,249,latest,1,1,0.0,100226,7680,6,50,140,8301,0.5
1253,93255,93255,538,249,latest,0,1,0.0,46064,5984,7,72,35,2048,0.3333333333333333
1256,93234,93234,538,249,latest,1,1,30300.0,84357,128,7,24,100,7455,6420.166666666668
1259,93212,93212,538,249,latest,0,1,212820.0,26909,160,13,58,280,3248,50786.77777777778
1307,93906,93906,555,389,intermediate,1,1,0.0,113420,2080,4,38,62,5609,0.0
1363,94909,94909,591,217,intermediate,0,1,4800.0,27894,7680,11,51,242,10056,1900.333333333333
1364,95005,95005,591,217,intermediate,0,1,9840.0,14717,7488,17,55,58,3265,3885.25
1383,96108,96108,593,509,latest,0,1,259200.0,28034,6272,7,33,202,1346,63632.38461538463
1437,97650,97650,609,465,latest,0,1,404640.0,113477,11520,9,9,90,8826,148237.625
1455,45939,45939,615,242,latest,1,1,596220.0,79527,6336,4,38,62,3928,293292.2
1472,99000,99000,631,129,latest,1,1,25620.0,39211,10112,9,44,114,1529,12810.5
1473,71171,71171,631,129,latest,1,1,54540.0,103097,21696,1,64,263,5164,26720.33333333333
1475,99044,99044,631,129,latest,1,1,57840.0,29402,313,11,76,147,9583,38676.2
1578,101982,101982,668,202,latest,1,1,40500.0,9507,1386,4,74,292,332,20220.33333333333
1590,102250,102250,672,371,intermediate,0,1,0.0,54881,7616,9,44,114,5236,0.0
1610,102506,102506,680,163,old,1,1,1335540.0,19502,5350,8,41,36,1485,667770.5
1627,72145,72145,688,244,old,0,1,0.0,2715,1601,14,61,159,7093,0.0
1628,102702,102702,688,244,old,0,1,0.0,19886,2396,17,55,58,3265,0.5
1631,102701,102701,688,244,old,0,1,9420.0,19886,2396,17,55,58,3265,2028.2
1636,102714,102714,688,244,old,0,1,78900.0,91109,46656,1,7,308,6108,21186.1
1639,102755,102755,688,244,old,0,1,269760.0,31878,17216,9,9,90,7875,53326.23076923077
1679,10597,10597,707,244,latest,1,1,97020.0,44686,182144,1,42,211,9939,0.0
1714,104648,104648,709,385,latest,0,1,0.0,3980,2691,7,71,121,9820,0.0
1758,105232,105232,734,207,intermediate,0,1,3300.0,123097,450,9,37,162,2159,0.0
1771,97963,97963,735,369,intermediate,1,1,0.0,10696,1248,7,31,271,10120,0.0
1798,64514,64514,747,465,latest,0,1,1363080.0,106866,416,7,24,100,2356,681540.5
1802,106320,106320,750,213,old,1,1,0.0,105781,2331,9,44,16,986,0.0
1808,106403,106403,754,371,latest,1,1,0.0,125928,851,9,37,142,4371,0.0
1809,106416,106416,754,371,latest,0,1,0.0,52695,10310,12,57,85,9333,0.5
1813,106418,106418,754,371,latest,1,1,237480.0,52695,10310,12,57,85,9333,70190.16666666669
1825,106428,106428,754,443,latest,0,1,834420.0,52695,10310,12,57,85,9333,435633.38888888893
1827,106430,106430,754,371,latest,1,1,928140.0,52695,10310,12,57,85,9333,484878.05
1852,85143,85143,759,127,intermediate,0,1,45780.0,1528,7320,9,44,114,3528,22890.5
1862,106625,106625,763,190,latest,0,1,0.0,83596,221184,1,42,103,10191,0.0
1903,107037,107037,777,371,latest,1,1,342180.0,16510,10112,1,7,308,2970,107743.72727272726
1912,107509,107509,782,190,old,0,1,23100.0,85891,5696,17,8,159,5276,15380.333333333336
1916,49701,49701,782,190,old,0,1,33300.0,3500,5178,4,38,62,10449,23117.285714285717
1930,107204,107204,782,190,old,0,1,700020.0,120829,3264,11,51,220,1130,159174.33333333337
1936,94030,94030,784,469,intermediate,0,1,0.0,110662,627,9,37,162,7791,0.0
1937,102167,102167,784,469,intermediate,0,1,0.0,50408,7843,4,74,292,3399,0.5
1938,107620,107620,784,469,intermediate,0,1,0.0,41188,2880,14,62,323,3991,0.3333333333333333
1939,107625,107625,784,469,intermediate,0,1,0.0,76674,1196,7,71,146,2349,0.25
1940,107635,107635,784,469,intermediate,0,1,0.0,77340,408,12,57,171,3652,0.2
1941,107641,107641,784,469,intermediate,0,1,0.0,77340,408,12,57,171,3652,0.16666666666666666
1942,108012,108012,784,469,intermediate,0,1,0.0,76464,4339,7,31,271,4309,0.14285714285714285
1948,74985,74985,784,469,intermediate,0,1,5220.0,44364,5690,16,68,326,7820,770.8461538461537
1950,107724,107724,784,469,intermediate,0,1,5580.0,65217,11840,9,9,90,5880,1404.0666666666666
1953,108016,108016,784,469,intermediate,0,1,11220.0,66283,9472,9,9,90,10412,2650.055555555556
1956,107640,107640,784,469,intermediate,0,1,17640.0,77340,408,12,57,171,3652,4268.619047619048
1959,107795,107795,784,469,intermediate,0,1,21660.0,71978,4480,13,67,32,6423,6335.041666666668
1960,107721,107721,784,469,intermediate,0,1,23760.0,131282,10260,17,8,159,9041,7032.04
1961,107792,107792,784,469,intermediate,0,1,33120.0,71978,4480,13,67,32,6423,8035.423076923077
1980,107651,107651,784,469,intermediate,0,1,457740.0,77340,408,12,57,171,3652,84278.6888888889
1984,108052,108052,786,261,old,0,1,1832940.0,34938,1523,7,31,271,4309,1167840.333333333
2010,108449,108449,803,220,latest,1,1,0.0,11479,13708,8,40,84,5036,0.0
2050,108848,108848,813,421,latest,0,1,174840.0,81131,3641,7,31,271,10170,87420.5
2055,108972,108972,818,207,old,0,1,0.0,132334,2169,10,63,303,3328,0.0
2061,7393,7393,822,386,latest,1,1,0.0,99270,1856,0,6,277,3810,0.0
2105,109416,109416,847,14,old,1,1,1731600.0,34268,5299,4,38,62,8121,865800.5
2107,109448,109448,848,469,old,0,1,0.0,110150,19334,8,41,36,5907,0.0
2121,109721,109721,850,190,latest,0,1,214440.0,321,1070,11,51,242,5921,49810.08333333334
2139,109830,109830,856,385,old,0,1,0.0,129960,1446,11,51,329,5622,0.0
2199,49639,49639,871,213,latest,1,1,222480.0,26037,2816,4,38,62,5049,148300.33333333337
2217,79240,79240,875,127,latest,0,1,156060.0,31143,54681,9,3,27,5259,68286.1
2245,111304,111304,888,145,latest,0,1,0.0,40988,1077,9,37,162,2835,0.0
2258,76558,76558,893,296,latest,0,1,1469280.0,13552,1670,9,44,114,5236,734640.5
2260,56020,56020,895,371,latest,1,1,0.0,126843,972,14,62,106,1030,0.0
2300,40736,40736,908,150,intermediate,1,1,0.0,80771,11697,9,3,48,6347,0.0
2301,82413,82413,908,150,intermediate,1,1,0.0,31935,2547,9,44,16,2874,0.5
2305,111932,111932,908,150,intermediate,1,1,563640.0,54456,4800,10,43,264,2874,231450.16666666663
2324,72663,72663,913,207,latest,0,1,0.0,95999,1280,13,67,170,2164,0.0
2326,112062,112062,915,296,old,0,1,0.0,129708,615,17,8,279,8607,0.0
2341,112117,112117,924,249,latest,0,1,0.0,46492,3379,17,8,159,5276,0.0
2344,112118,112118,924,249,latest,0,1,106020.0,46492,3379,17,8,159,5276,34680.25
2350,109073,109073,928,145,latest,0,1,0.0,52683,4602,16,56,256,3484,0.0
2351,112350,112350,928,190,latest,0,1,0.0,120589,5766,17,39,297,4381,0.5
2352,113049,113049,928,190,latest,0,1,360.0,23382,5184,17,8,110,1821,120.33333333333331
2358,113051,113051,928,190,latest,0,1,2760.0,121057,6346,1,36,28,1845,1213.4444444444443
2375,113074,113074,930,244,old,0,1,0.0,50594,6627,9,44,114,1193,0.0
2391,113319,113319,940,296,old,0,1,263220.0,30086,10137,13,5,65,3765,0.0
2432,113881,113881,964,145,latest,0,1,0.0,80860,1113,8,40,84,1887,0.0
2449,10043,10043,966,38,latest,1,1,0.0,122965,8242,13,78,287,6828,0.0
2454,114161,114161,967,372,latest,0,1,1980.0,9430,2822,17,39,252,2980,990.5
2508,115044,115044,1007,242,latest,0,1,0.0,95279,889,10,43,223,3635,0.0
2521,39864,39864,1010,3,latest,0,1,99780.0,17268,4352,4,38,62,4911,41715.125
2525,115414,115414,1010,3,latest,1,1,269880.0,122838,5056,1,7,300,4986,102465.08333333331
2558,115518,115518,1016,213,latest,0,1,287820.0,119089,19136,4,38,62,9650,143910.5
2576,31999,31999,1027,129,intermediate,0,1,328020.0,92499,8960,1,7,300,1617,202755.25
2582,115727,115727,1028,469,intermediate,0,1,966660.0,103640,13376,1,42,157,1617,483330.5
2648,116674,116674,1045,296,old,0,1,168840.0,107446,1077,8,21,104,2944,107601.5
2651,116647,116647,1045,296,old,0,1,515760.0,5663,6336,7,24,100,2874,152880.0588235294
2699,118685,118685,1062,129,latest,1,1,582960.0,65785,4467,9,44,16,7791,0.0
2708,118694,118694,1069,296,old,0,1,0.0,39190,4451,17,8,113,6512,0.0
2711,118698,118698,1069,296,old,0,1,566880.0,59774,5644,9,44,114,7023,269265.25
2822,120337,120337,1100,32,intermediate,0,1,740820.0,102091,2339,17,39,297,177,370410.5
2864,80739,80739,1124,371,old,0,1,0.0,52280,6080,7,24,100,7455,0.0
2865,121288,121288,1124,371,old,0,1,0.0,108161,1450,11,51,242,10414,0.5
2868,120974,120974,1124,371,old,0,1,11280.0,110374,42880,9,9,90,1259,3900.2
2904,121893,121893,1135,469,old,0,1,921420.0,86990,14528,1,28,314,6122,460710.5
2939,53423,53423,1145,127,intermediate,1,1,34440.0,72955,2344,0,6,145,2056,17220.5
2958,122903,122903,1151,296,old,1,1,360420.0,63497,4153,10,43,264,4597,0.0
2966,123182,123182,1157,48,latest,0,1,0.0,76256,457,0,6,50,9070,0.0
2967,123183,123183,1157,48,latest,0,1,0.0,6575,6272,4,74,292,2076,0.5
2968,123195,123195,1157,48,latest,0,1,0.0,88515,544,7,31,271,1654,0.3333333333333333
3011,30003,30003,1158,386,latest,1,1,0.0,425,1025,4,74,292,4524,0.0
3031,123501,123501,1163,145,old,0,1,0.0,30990,825,13,58,189,9839,0.0
3096,111937,111937,1188,194,intermediate,0,1,0.0,54456,4800,10,43,264,2874,0.0
3133,124476,124476,1190,371,intermediate,0,1,13860.0,115644,64101,1,42,157,6239,4345.857142857143
3139,124454,124454,1190,371,intermediate,0,1,587160.0,92258,16844,9,3,159,8064,64412.38461538463
3140,124432,124432,1190,371,intermediate,1,1,1530120.0,80304,1440,13,58,254,6708,169105.7857142857
3238,127417,127417,1229,244,intermediate,1,1,2529960.0,104673,10803,9,3,97,5231,0.0
3249,124963,124963,1233,127,intermediate,1,1,189180.0,113905,53760,4,38,19,3893,74480.33333333331
3256,124970,124970,1233,127,intermediate,0,1,711480.0,113905,53760,4,38,19,3893,297054.1
3257,127793,127793,1235,190,latest,0,1,420.0,79148,14272,8,40,84,9234,0.0
3258,127782,127782,1235,190,latest,0,1,30480.0,118910,2208,4,38,62,6751,15240.5
3274,125711,125711,1243,249,latest,1,1,87180.0,30048,2496,10,43,264,5386,0.0
3352,129304,129304,1275,434,latest,0,1,71700.0,28870,18636,9,3,312,5988,44140.16666666666
3385,129969,129969,1287,244,old,0,1,0.0,65163,26368,4,74,292,4728,0.0
3387,129971,129971,1287,244,old,0,1,1560.0,65163,26368,4,74,292,4728,880.3333333333335
3391,129923,129923,1287,244,old,1,1,57780.0,41583,28998,1,36,28,4967,27634.42857142857
3449,130432,130432,1305,283,latest,0,1,457260.0,32869,4988,16,56,158,1417,228630.5
3459,130768,130768,1311,296,old,0,1,0.0,20623,2419,13,78,134,7844,0.0
3508,131052,131052,1326,127,old,0,1,9240.0,40849,1817,7,31,271,8506,3720.333333333334
3511,131026,131026,1326,127,old,0,1,3718440.0,52074,38656,1,42,157,8817,1314420.166666667
3534,14107,14107,1343,3,latest,1,1,0.0,65275,5760,1,64,263,10099,0.0
3535,131880,131880,1343,319,latest,1,1,0.0,14700,1177,10,63,216,9697,0.5
3578,132005,132005,1349,244,intermediate,0,1,236520.0,35852,11462,4,38,62,8323,101718.53846153848
3614,17157,17157,1362,213,old,0,1,88800.0,2580,5120,0,45,73,6718,30520.33333333333
3635,65254,65254,1372,231,intermediate,1,1,110760.0,109074,6330,10,63,295,9337,57795.25
3700,133270,133270,1395,163,old,0,1,1067940.0,12920,1344,17,8,279,9041,533970.5
3702,99207,99207,1396,249,intermediate,0,1,622080.0,80239,2873,13,18,291,771,311040.5
3703,133273,133273,1397,422,old,0,1,0.0,49103,1670,17,69,59,5611,0.0
3717,133508,133508,1406,318,latest,1,1,8700.0,30399,3040,11,76,67,7455,4350.5
3756,101498,101498,1426,14,intermediate,0,1,642060.0,10576,2665,8,40,76,6825,264825.9411764706
3759,133812,133812,1427,166,old,0,1,3120.0,108274,3264,1,64,263,576,1560.5
3760,81117,81117,1427,166,old,0,1,5940.0,132031,2016,12,57,44,3834,3020.333333333333
3766,133783,133783,1427,166,old,0,1,50520.0,112130,4915,4,38,62,8121,19626.777777777777
3775,9467,9467,1433,296,old,0,1,327660.0,76717,58252,9,3,27,234,0.0
3781,86160,86160,1437,177,old,0,1,8460.0,32821,2880,0,6,169,663,4230.5
3828,21414,21414,1454,190,latest,0,1,36660.0,73972,2227,12,57,44,907,23445.25
3872,135315,135315,1459,250,intermediate,1,1,111540.0,78863,1017,4,38,62,7284,55921.79411764706
3875,133317,133317,1459,250,intermediate,0,1,159540.0,13327,1977,6,14,80,1417,63632.45945945946
3931,135624,135624,1476,249,old,0,1,19440.0,42287,1401,4,38,62,10489,7425.25
3978,126421,126421,1484,5,latest,1,1,0.0,116661,832,11,51,181,6764,0.0
3991,126422,126422,1484,5,latest,1,1,863940.0,116661,832,11,51,181,6764,353185.7857142857
4087,97069,97069,1539,386,latest,1,1,0.0,30152,2227,4,38,62,2106,0.0
4099,136413,136413,1546,190,intermediate,0,1,3660.0,50402,30720,8,41,36,1168,0.0
4101,135437,135437,1547,61,latest,0,1,0.0,71399,2580,4,74,292,1431,0.0
4108,136730,136730,1551,318,latest,1,1,0.0,38983,1900,17,8,279,8108,0.5
4109,136731,136731,1551,3,latest,0,1,0.0,38983,1900,17,8,279,8108,0.3333333333333333
4115,136908,136908,1551,3,latest,0,1,50400.0,9062,5760,17,8,123,210,21740.11111111111
4116,136909,136909,1551,3,latest,0,1,52140.0,9062,5760,17,8,123,210,24780.1
4123,130188,130188,1551,318,latest,1,1,158820.0,68615,1606,17,26,233,2077,60338.882352941175
4126,136747,136747,1551,3,latest,0,1,301800.0,42490,1081,16,4,119,703,89262.05
4147,132928,132928,1555,32,old,1,1,0.0,101747,2259,17,26,233,2786,0.0
4149,137081,137081,1558,283,intermediate,1,1,0.0,32459,2041,10,43,223,10278,0.0
4150,137088,137088,1558,283,intermediate,1,1,0.0,122404,19136,8,40,84,9234,0.5
4151,137089,137089,1558,283,intermediate,1,1,360.0,122404,19136,8,40,84,9234,120.33333333333331
4167,60970,60970,1566,469,latest,0,1,19080.0,41171,480,14,61,132,8600,9540.5
4212,137753,137753,1575,213,intermediate,0,1,780.0,47396,1280,12,57,184,7885,0.0
4280,48111,48111,1591,32,intermediate,0,1,239940.0,103564,1013,17,39,151,8909,119970.5
4327,56906,56906,1610,190,latest,0,1,0.0,110871,1702,4,74,292,3399,0.0
4328,84875,84875,1610,190,latest,1,1,0.0,25346,2726,12,57,85,7238,0.5
4385,83325,83325,1624,275,old,0,1,0.0,100477,7294,17,8,159,5276,0.0
4386,114171,114171,1624,275,old,0,1,13020.0,72853,1856,13,78,129,10326,6510.5
4416,138706,138706,1651,256,latest,0,1,0.0,7467,95328,17,69,154,338,0.0
4433,138818,138818,1657,503,latest,0,1,0.0,99451,3097,9,37,162,8579,0.0
4456,50423,50423,1672,296,latest,0,1,0.0,118262,2067,13,18,291,7125,0.0
4490,138934,138934,1687,38,old,0,1,0.0,121485,11200,1,42,103,792,0.0
4501,138986,138986,1696,249,old,0,1,278520.0,119813,9216,0,6,277,9227,0.0
4504,138991,138991,1696,213,old,0,1,1095960.0,84771,25977,9,3,48,1227,626820.25
4519,93921,93921,1701,127,latest,0,1,0.0,36658,31936,14,62,201,9864,0.0
4527,139405,139405,1705,392,latest,1,1,0.0,52277,2291,17,39,151,10304,0.0
4528,139368,139368,1705,392,latest,1,1,89220.0,6595,7084,9,3,48,3808,44610.5
4534,139414,139414,1706,250,latest,1,1,410640.0,118491,2227,7,71,228,545,273740.33333333326
4556,52866,52866,1721,465,intermediate,0,1,0.0,76156,627,12,57,184,9622,0.0
4564,17947,17947,1728,190,old,0,1,0.0,8860,844,11,70,322,4129,0.0
4565,17948,17948,1728,190,old,0,1,420.0,8860,844,11,70,322,4129,210.5
4585,94033,94033,1742,492,old,0,1,73020.0,110662,627,9,37,162,7791,0.0
4586,94034,94034,1742,492,old,1,1,79980.0,110662,627,9,37,162,7791,39990.5
4593,122220,122220,1749,32,old,1,1,0.0,132568,1811,17,8,113,2874,0.0
4594,139694,139694,1749,32,old,1,1,0.0,42115,9593,1,36,203,2457,0.5
4599,104659,104659,1750,190,intermediate,0,1,0.0,33219,153,14,61,186,6472,0.0
4600,139826,139826,1750,190,intermediate,0,1,0.0,26559,1497,17,8,9,9549,0.5
4608,139825,139825,1750,190,intermediate,0,1,27000.0,50065,500544,1,36,28,4742,6036.1
4644,140076,140076,1758,359,latest,1,1,142080.0,64334,22080,1,36,28,2475,85740.25
4803,140669,140669,1808,242,latest,0,1,0.0,101429,3520,6,77,325,1915,0.0
4804,127808,127808,1808,242,latest,0,1,16320.0,79769,2979,9,44,114,6898,8160.5
4813,140673,140673,1812,399,intermediate,0,1,341460.0,100577,825,7,23,149,6248,78160.16666666669
4840,141309,141309,1819,473,old,0,1,0.0,40310,9095,8,41,36,9372,0.0
4843,141475,141475,1822,392,latest,0,1,0.0,127835,67372,8,48,206,8915,0.0
4846,141530,141530,1826,127,latest,0,1,0.0,40211,1280,1,64,263,7069,0.0
4847,141532,141532,1826,127,latest,0,1,0.0,85475,1196,9,37,162,3978,0.5
4857,62708,62708,1828,129,intermediate,1,1,4067820.0,89373,2496,17,8,113,10025,0.0
4861,141537,141537,1834,354,latest,0,1,0.0,67420,5289,8,41,36,1485,0.0
4864,141551,141551,1835,296,intermediate,1,1,0.0,92748,1260,10,43,264,2604,0.0
4891,44983,44983,1846,190,old,1,1,229380.0,24133,40896,1,42,157,6598,83640.33333333331
4923,142654,142654,1862,32,latest,1,1,0.0,24671,7575,11,51,242,5783,0.0
5040,143449,143449,1901,163,old,0,1,20820.0,10579,9280,1,12,301,1076,0.0
5041,143450,143450,1901,163,old,0,1,24060.0,10579,9280,1,12,301,1076,12030.5
5080,90812,90812,1924,190,old,1,1,0.0,97759,4800,6,73,150,7262,0.0
5147,144406,144406,1954,5,intermediate,0,1,1485420.0,11982,12736,10,43,187,6077,1026050.1666666665
5157,144416,144416,1954,5,intermediate,0,1,2013780.0,11982,12736,10,43,187,6077,1454171.3125
5192,144602,144602,1973,32,latest,0,1,0.0,45993,12620,8,40,84,5036,0.0
5217,63823,63823,1988,190,old,0,1,2437500.0,115304,780,9,37,142,4371,0.0
5242,145144,145144,2004,249,latest,0,1,0.0,8682,23040,15,0,214,6063,0.0
5243,10609,10609,2004,61,latest,0,1,960.0,44686,182144,1,42,211,9939,480.5
5288,145403,145403,2023,249,latest,0,1,0.0,124001,1856,17,39,151,10304,0.0
5289,145404,145404,2023,296,latest,0,1,0.0,16934,467,0,6,50,3491,0.5
5313,145495,145495,2034,37,old,0,1,0.0,15519,953,13,67,168,4218,0.0
5314,146050,146050,2034,37,old,0,1,0.0,81264,1601,4,38,62,723,0.5
5349,123532,123532,2049,469,latest,1,1,0.0,65054,2560,0,45,117,10115,0.0
5363,146504,146504,2059,120,latest,0,1,0.0,65927,13063,14,62,106,1334,0.0
5392,20821,20821,2070,382,intermediate,0,1,0.0,76224,4354,11,51,15,5783,0.0
5418,146770,146770,2079,249,old,0,1,180120.0,9401,1139,13,67,141,10021,0.0
5463,147303,147303,2092,166,latest,0,1,32820.0,64965,870,11,35,148,5622,18900.33333333333
5472,8005,8005,2096,372,old,1,1,92160.0,114286,27520,1,64,263,2270,38450.16666666666
5500,135687,135687,2107,244,latest,0,1,0.0,1907,10329,4,38,62,3842,0.0
5538,147766,147766,2118,190,latest,0,1,1786860.0,109974,8896,1,28,314,8817,0.0
5566,110538,110538,2128,260,intermediate,0,1,240.0,6131,6998,9,3,27,4763,120.5
5572,147825,147825,2128,371,intermediate,1,1,12240.0,54583,15604,9,3,159,4719,3322.625
5574,99056,99056,2128,371,intermediate,1,1,33960.0,29402,313,11,76,147,9583,9384.1
5617,65534,65534,2129,371,old,0,1,2640.0,105243,4826,17,26,233,1946,0.0
5636,147830,147830,2132,326,latest,0,1,0.0,33239,1017,10,43,223,1482,0.0
5637,147867,147867,2132,326,latest,0,1,0.0,48396,52992,1,36,28,6108,0.5
5638,93568,93568,2132,326,latest,0,1,120.0,16627,66258,1,42,103,10099,40.333333333333336
5645,85033,85033,2132,326,latest,0,1,19140.0,4305,787,10,43,223,1733,5742.1
5658,147959,147959,2135,7,latest,1,1,55620.0,21035,358,17,55,70,2874,27810.5
5713,148016,148016,2158,244,intermediate,0,1,360.0,104360,1728,13,18,291,2627,180.5
5718,148021,148021,2158,244,intermediate,0,1,8640.0,31653,569,17,39,151,6201,2597.285714285714
5725,66695,66695,2158,244,intermediate,0,1,539880.0,93600,205440,1,7,308,3786,84458.64285714286
5778,148453,148453,2179,190,old,0,1,323100.0,109229,640,14,29,199,8089,0.0
5859,148972,148972,2218,5,intermediate,1,1,0.0,129043,2675,17,39,151,8251,0.0
5935,149261,149261,2245,509,latest,0,1,12600.0,69337,307,15,47,261,6567,8160.2
5943,140290,140290,2246,296,latest,1,1,0.0,88013,63744,1,42,30,9755,0.0
5954,139459,139459,2256,371,intermediate,1,1,49740.0,88331,1843,11,51,14,1761,24870.5
5999,149560,149560,2274,244,intermediate,1,1,0.0,49867,16864,17,39,151,7570,0.0
6000,149563,149563,2274,244,intermediate,0,1,0.0,129279,806,17,8,113,6512,0.5
6008,142028,142028,2274,244,intermediate,0,1,119640.0,123158,3283,6,77,325,3299,47994.1
6011,149661,149661,2276,296,old,0,1,0.0,76938,9779,9,3,159,9259,0.0
6017,149727,149727,2282,443,latest,0,1,0.0,1011,29030,1,42,103,5208,0.0
6059,149835,149835,2298,32,latest,0,1,0.0,95899,2641,17,26,233,5435,0.0
6070,149870,149870,2304,249,latest,0,1,0.0,31638,9600,12,57,85,9309,0.0
6134,108020,108020,2352,318,intermediate,0,1,0.0,66283,9472,9,9,90,10412,0.0
6135,135506,135506,2352,318,intermediate,0,1,0.0,59412,10816,1,42,30,9314,0.5
6136,150381,150381,2352,318,intermediate,0,1,0.0,14559,37760,8,40,313,1943,0.3333333333333333
6159,133545,133545,2357,505,latest,0,1,40200.0,78780,8896,1,28,336,140,0.0
6178,150636,150636,2371,371,old,0,1,0.0,120656,4115,14,29,257,5905,0.0
